Country,Schizophrenia,Bipolar disorder,Eating disorders,Anxiety disorders,Drug use disorders,Depression,Alcohol use disorders
Ghana,0.22%,0.56%,0.12%,3.07%,0.53%,4.46%,0.56%
Greece,0.30%,0.99%,0.47%,6.31%,0.67%,5.50%,1.80%
Greenland,0.41%,0.71%,0.55%,5.30%,1.77%,6.36%,3.83%
Grenada,0.29%,0.96%,0.23%,4.48%,0.94%,3.38%,1.53%
Guam,0.34%,0.30%,0.19%,4.22%,0.80%,3.36%,0.83%
Guatemala,0.27%,0.84%,0.20%,4.46%,0.38%,3.84%,3.40%
Guinea,0.21%,0.55%,0.09%,3.39%,0.27%,4.44%,0.51%
Guinea-Bissau,0.21%,0.54%,0.09%,3.15%,0.30%,4.58%,0.55%
Guyana,0.27%,0.90%,0.19%,4.53%,0.69%,5.10%,1.93%
Haiti,0.25%,0.86%,0.12%,4.74%,0.62%,3.72%,1.46%
Honduras,0.27%,0.85%,0.17%,4.27%,0.51%,3.29%,2.32%
Hungary,0.31%,0.58%,0.20%,3.67%,0.72%,3.04%,2.38%
Iceland,0.31%,1.00%,0.50%,5.60%,1.11%,3.22%,2.31%
India,0.29%,0.36%,0.13%,3.04%,0.52%,3.75%,1.18%
Indonesia,0.31%,0.34%,0.12%,3.70%,0.48%,2.52%,0.51%
Iran,0.27%,0.86%,0.27%,7.62%,0.77%,5.10%,0.32%
Iraq,0.26%,0.71%,0.22%,5.60%,0.37%,4.13%,0.42%
Ireland,0.39%,0.77%,0.50%,7.62%,1.35%,4.65%,3.54%
Israel,0.32%,1.14%,0.42%,4.05%,0.86%,4.47%,0.95%
Italy,0.31%,0.96%,0.59%,5.98%,1.01%,3.83%,1.61%
Jamaica,0.29%,0.99%,0.20%,4.24%,1.05%,3.20%,1.10%
Japan,0.33%,0.70%,0.42%,2.54%,0.85%,2.30%,0.65%
Jordan,0.27%,0.83%,0.21%,5.23%,0.45%,4.40%,0.43%
Kazakhstan,0.30%,0.54%,0.17%,2.26%,0.81%,3.67%,3.75%
Kenya,0.22%,0.62%,0.11%,3.52%,0.33%,4.86%,0.74%
Kiribati,0.26%,0.26%,0.07%,4.22%,0.68%,3.06%,0.59%
Kuwait,0.29%,0.87%,0.37%,4.92%,0.48%,4.35%,0.41%
Kyrgyzstan,0.28%,0.55%,0.10%,2.18%,0.55%,3.58%,3.16%
Laos,0.29%,0.34%,0.10%,4.75%,0.48%,2.85%,0.87%
Latin America & Caribbean (WB),0.30%,1.02%,0.26%,5.76%,0.83%,3.53%,2.19%
Latvia,0.31%,0.56%,0.18%,4.05%,1.27%,4.05%,2.30%
Lebanon,0.27%,1.00%,0.24%,6.42%,0.76%,4.94%,0.43%
Lesotho,0.21%,0.55%,0.11%,3.70%,0.62%,5.74%,2.23%
Liberia,0.21%,0.55%,0.08%,3.55%,0.41%,4.61%,0.52%
Libya,0.26%,0.80%,0.21%,5.56%,0.86%,4.60%,0.44%
Lithuania,0.31%,0.56%,0.19%,4.58%,0.86%,4.29%,2.19%
Luxembourg,0.31%,0.99%,0.63%,5.81%,1.34%,3.54%,2.51%
Madagascar,0.22%,0.61%,0.09%,4.07%,0.35%,4.87%,1.38%
Malawi,0.21%,0.59%,0.08%,3.96%,0.35%,4.22%,1.52%
Malaysia,0.34%,0.36%,0.16%,4.88%,0.61%,3.89%,0.55%
Maldives,0.33%,0.35%,0.13%,3.74%,0.56%,3.05%,0.71%
Mali,0.21%,0.55%,0.09%,2.77%,0.27%,3.60%,0.47%
Malta,0.30%,1.00%,0.46%,6.87%,0.97%,3.44%,1.88%
Marshall Islands,0.28%,0.28%,0.09%,4.17%,0.74%,2.99%,0.80%
Mauritania,0.23%,0.57%,0.12%,2.82%,0.37%,3.76%,0.46%
Mauritius,0.32%,0.35%,0.14%,3.96%,0.70%,3.95%,1.26%
Mexico,0.30%,0.97%,0.26%,3.74%,0.58%,3.77%,1.39%
Micronesia (country),0.28%,0.27%,0.08%,4.19%,0.77%,3.02%,0.75%
Middle East & North Africa (WB),0.26%,0.80%,0.23%,5.53%,0.50%,4.61%,0.42%
Moldova,0.29%,0.55%,0.12%,4.36%,0.68%,3.45%,2.02%
Monaco,0.33%,0.99%,0.96%,6.06%,1.15%,4.47%,2.46%
Mongolia,0.29%,0.53%,0.14%,2.27%,0.62%,4.20%,4.44%
Montenegro,0.31%,0.58%,0.17%,3.93%,0.65%,3.03%,2.03%
Morocco,0.25%,0.78%,0.20%,5.03%,0.50%,5.32%,0.43%
Mozambique,0.21%,0.59%,0.09%,4.11%,0.37%,5.09%,1.66%
Myanmar,0.29%,0.33%,0.10%,4.09%,0.52%,2.26%,0.80%
Namibia,0.23%,0.57%,0.17%,3.61%,0.72%,3.74%,2.19%
Nauru,0.30%,0.27%,0.12%,4.24%,0.74%,3.29%,0.79%
Nepal,0.28%,0.40%,0.11%,3.39%,0.39%,5.06%,1.23%
Netherlands,0.41%,0.87%,0.42%,7.45%,1.15%,3.90%,1.81%
New Zealand,0.43%,1.67%,0.67%,8.04%,1.84%,4.12%,3.44%
Nicaragua,0.29%,0.90%,0.18%,4.63%,0.38%,3.45%,2.76%
Niger,0.21%,0.55%,0.08%,3.02%,0.30%,4.30%,0.47%
Nigeria,0.23%,0.56%,0.13%,3.03%,0.30%,3.87%,0.51%
Niue,0.31%,0.29%,0.12%,4.23%,0.78%,3.30%,0.81%
North America (WB),0.45%,0.67%,0.46%,6.03%,3.60%,4.63%,2.44%
North Korea,0.28%,0.19%,0.07%,3.82%,0.58%,2.83%,0.79%
North Macedonia,0.31%,0.58%,0.15%,3.85%,0.45%,2.76%,1.90%
Northern Ireland,0.30%,1.23%,0.45%,7.07%,1.59%,4.61%,2.12%
Northern Mariana Islands,0.33%,0.29%,0.16%,4.21%,0.80%,2.93%,1.01%
Norway,0.31%,0.90%,0.51%,7.30%,1.05%,3.51%,1.71%
OECD Countries,0.35%,0.83%,0.43%,5.18%,1.75%,3.95%,2.02%
Oman,0.28%,0.71%,0.28%,4.80%,0.38%,4.13%,0.46%
Pakistan,0.29%,0.40%,0.13%,3.61%,0.46%,4.10%,1.42%
Palau,0.31%,0.28%,0.13%,4.15%,0.78%,3.25%,0.86%
Palestine,0.26%,0.83%,0.17%,5.85%,0.45%,6.54%,0.42%
Panama,0.31%,0.90%,0.30%,3.88%,0.57%,3.12%,1.65%
Papua New Guinea,0.28%,0.27%,0.08%,4.08%,0.69%,3.14%,0.78%
Paraguay,0.29%,1.15%,0.23%,6.65%,0.73%,3.90%,2.73%
Peru,0.29%,0.97%,0.31%,5.84%,0.94%,2.33%,0.81%
Philippines,0.30%,0.35%,0.11%,4.75%,0.55%,2.89%,0.81%
Poland,0.32%,0.60%,0.20%,3.35%,0.85%,2.48%,3.27%
Portugal,0.29%,0.96%,0.46%,8.79%,0.81%,4.81%,3.16%
Puerto Rico,0.31%,1.00%,0.33%,4.69%,1.01%,3.04%,1.43%
Qatar,0.30%,0.79%,0.37%,4.54%,0.45%,4.21%,0.52%
Region of the Americas (WHO),0.35%,0.90%,0.32%,5.84%,1.74%,3.84%,2.27%
Romania,0.31%,0.68%,0.17%,3.51%,0.36%,2.83%,2.18%
Russia,0.30%,0.55%,0.17%,3.38%,1.22%,3.32%,2.93%
Rwanda,0.22%,0.61%,0.10%,3.77%,0.44%,5.25%,3.00%
Saint Kitts and Nevis,0.30%,0.96%,0.30%,4.55%,0.84%,4.15%,1.55%
Saint Lucia,0.29%,0.97%,0.23%,4.51%,1.22%,3.47%,1.75%
Saint Vincent and the Grenadines,0.29%,0.95%,0.22%,4.48%,0.91%,3.51%,2.13%
Samoa,0.30%,0.29%,0.10%,4.20%,1.00%,2.92%,0.66%
San Marino,0.31%,1.01%,0.56%,6.09%,1.13%,4.50%,2.33%
Sao Tome and Principe,0.23%,0.58%,0.11%,3.19%,0.35%,3.83%,0.57%
Saudi Arabia,0.28%,0.80%,0.29%,4.77%,0.45%,4.42%,0.46%
Scotland,0.26%,0.99%,0.44%,4.57%,2.61%,4.27%,4.19%
Senegal,0.22%,0.56%,0.11%,2.95%,0.33%,4.10%,0.49%
Serbia,0.31%,0.58%,0.15%,3.57%,0.46%,3.02%,2.19%
Seychelles,0.33%,0.35%,0.16%,3.94%,0.98%,2.79%,0.79%
Sierra Leone,0.21%,0.55%,0.09%,3.72%,0.36%,4.46%,0.51%
Singapore,0.35%,0.79%,0.50%,2.97%,0.86%,2.20%,0.71%
Slovakia,0.32%,0.58%,0.20%,3.68%,0.77%,2.90%,2.49%
Slovenia,0.32%,0.59%,0.20%,3.66%,0.86%,3.37%,2.61%
Solomon Islands,0.26%,0.26%,0.07%,4.14%,0.71%,3.09%,0.70%
Somalia,0.19%,0.59%,0.05%,3.33%,0.34%,4.94%,1.21%
South Africa,0.23%,0.58%,0.17%,3.92%,0.98%,4.45%,1.94%
South Asia (WB),0.29%,0.38%,0.13%,3.18%,0.50%,3.91%,1.19%
South Korea,0.33%,0.54%,0.38%,3.49%,0.87%,2.27%,2.53%
South Sudan,0.23%,0.62%,0.16%,5.08%,0.35%,4.85%,1.38%
South-East Asia Region (WHO),0.29%,0.36%,0.13%,3.21%,0.51%,3.58%,1.06%
Spain,0.29%,1.02%,0.65%,5.36%,1.78%,5.19%,1.73%
Sri Lanka,0.32%,0.35%,0.13%,4.25%,0.61%,3.02%,0.87%
Sub-Saharan Africa (WB),0.22%,0.58%,0.11%,3.58%,0.40%,4.63%,1.12%
Sudan,0.24%,0.76%,0.15%,4.94%,0.33%,4.61%,0.41%
Suriname,0.29%,0.94%,0.24%,4.32%,0.72%,4.89%,1.58%
Sweden,0.29%,1.06%,0.56%,5.21%,0.87%,4.47%,2.36%
Switzerland,0.31%,1.04%,0.54%,7.49%,1.51%,4.08%,2.53%
Syria,0.26%,0.82%,0.17%,5.91%,0.39%,4.35%,0.42%
Taiwan,0.34%,0.21%,0.19%,3.96%,0.73%,2.77%,0.63%
Tajikistan,0.28%,0.54%,0.09%,2.54%,0.44%,2.97%,2.46%
Tanzania,0.22%,0.61%,0.11%,3.91%,0.40%,4.77%,1.45%
Thailand,0.32%,0.35%,0.14%,3.57%,0.85%,2.99%,1.22%
Timor,0.27%,0.33%,0.10%,3.91%,0.54%,2.89%,0.74%
Togo,0.21%,0.55%,0.09%,3.66%,0.29%,4.58%,0.53%
Tokelau,0.30%,0.29%,0.11%,4.19%,0.75%,3.26%,0.79%
Tonga,0.30%,0.30%,0.10%,4.25%,0.82%,2.82%,0.68%
Trinidad and Tobago,0.30%,0.96%,0.30%,4.08%,0.84%,4.03%,1.48%
Tunisia,0.27%,0.83%,0.22%,5.47%,0.47%,5.34%,0.42%
Turkey,0.26%,0.84%,0.31%,4.76%,0.38%,4.16%,0.51%
Turkmenistan,0.30%,0.54%,0.16%,2.49%,0.55%,3.25%,2.82%
Tuvalu,0.29%,0.28%,0.09%,4.17%,0.73%,3.25%,0.78%
Uganda,0.21%,0.59%,0.10%,4.15%,0.43%,6.69%,0.86%
Ukraine,0.29%,0.56%,0.13%,3.38%,0.90%,4.20%,2.52%
United Arab Emirates,0.29%,0.79%,0.32%,4.46%,0.78%,3.76%,0.57%
United Kingdom,0.27%,1.20%,0.47%,4.90%,2.19%,4.50%,3.42%
United States,0.47%,0.65%,0.46%,6.16%,3.70%,4.73%,2.49%
United States Virgin Islands,0.31%,0.97%,0.37%,4.61%,0.90%,3.55%,2.08%
Uruguay,0.34%,1.07%,0.38%,5.58%,1.34%,3.07%,1.83%
Uzbekistan,0.29%,0.54%,0.12%,2.14%,0.47%,3.34%,2.02%
Vanuatu,0.28%,0.27%,0.08%,4.15%,0.60%,3.06%,0.80%
Venezuela,0.29%,0.87%,0.22%,4.18%,0.43%,3.36%,1.58%
Vietnam,0.34%,0.35%,0.10%,2.39%,0.62%,2.58%,1.28%
Wales,0.30%,0.99%,0.45%,4.67%,1.93%,4.55%,4.53%
Western Pacific Region (WHO),0.33%,0.27%,0.15%,3.41%,0.71%,2.87%,1.25%
World,0.30%,0.51%,0.18%,3.94%,0.74%,3.59%,1.38%
World Bank High Income,0.36%,0.80%,0.45%,5.31%,1.90%,3.96%,2.07%
World Bank Low Income,0.22%,0.56%,0.09%,3.76%,0.38%,4.76%,1.29%
World Bank Lower Middle Income,0.28%,0.43%,0.13%,3.44%,0.48%,3.72%,1.07%
World Bank Upper Middle Income,0.31%,0.48%,0.18%,4.18%,0.75%,3.32%,1.52%
Yemen,0.23%,0.75%,0.13%,4.93%,0.31%,5.04%,0.40%
Zambia,0.22%,0.59%,0.12%,4.05%,0.34%,4.30%,1.56%
Zimbabwe,0.21%,0.56%,0.10%,3.28%,0.61%,3.55%,1.78%
